Key,Speaking Character,Line
NURSE_MPR,Nurse,"Vela? Feeling alright? Your mom should have some leftover cold meds for whatever you had, I gave her a couple days worth"
NURSE_MPR,Narrator,His eyes flick down to the basket holding your guts. You nervously adjust it feeling the slight *slosh* as you do
NURSE_MPR,Nurse,"Hope there's nothing contagious in there, can't be bringing infected meats into the sick bay."
NURSE_MPR,Vela,"Nope! All natural, all healthy!"
NURSE_MPR,Vela,See you around!
NURSE_MPR,Narrator,You carefully turn around and walk away.
,,
NURSE_PR,Nurse,Next?
NURSE_PR,Narrator,"The nurse eyes you suspiciously, his eyes lingering on the bulge around your stomach underneath the coat."
NURSE_PR,Nurse,"Are you smuggling anything in there? If you're trying to get more supplies we're already exceedingly low, and I'd have to report you to Maria for that grave offense."
NURSE_PR,Vela,"Nope! I'm just really uh, bloated? Today."
NURSE_PR,Nurse,"Uh huh, alright well if you don't have any urget medical needs I think I better see the next patient."
NURSE_PR,Vela,"Sure, see you around!"
NURSE_PR,Nurse,Mhm.
,,
NURSE_MR,Nurse,Next-
NURSE_MR,Nurse,JESUS FUCKING CHRIST ARE THOSE ORGANS?!
NURSE_MR,Narrator,He calls out.
NURSE_MR,Nurse,"MARIA, JEAN, ANYONE COME HELP ME, VELA'S ORGANS ARE SPILLING OUT"
NURSE_MR,Narrator,"You're flooded by the crowd, who decides to toss you out to the wind. In their eyes, by this point you're either a vampire or bait for one, and the group comes first."
NURSE_MR,GAME OVER,
,,
NURSE_NR,Nurse,Next-
NURSE_NR,Nurse,JESUS FUCKING CHRIST ARE THOSE ORGANS?!
NURSE_NR,Narrator,He calls out.
NURSE_NR,Nurse,"MARIA, JEAN, ANYONE COME HELP ME, VELA'S ORGANS ARE SPILLING OUT"
NURSE_NR,Narrator,"You're flooded by the crowd, who decides to toss you out to the wind. In their eyes, by this point you're either a vampire or bait for one, and the group comes first."
NURSE_NR,GAME OVER,
,,
NURSE_MNR,Nurse,Next-
NURSE_MNR,Nurse,JESUS FUCKING CHRIST ARE THOSE ORGANS?!
NURSE_MNR,Narrator,He calls out.
NURSE_MNR,Nurse,"MARIA, JEAN, ANYONE COME HELP ME, VELA'S ORGANS ARE SPILLING OUT"
NURSE_MNR,Narrator,"You're flooded by the crowd, who decides to toss you out to the wind. In their eyes, by this point you're either a vampire or bait for one, and the group comes first."
NURSE_MNR,GAME OVER,
