Key,Speaking Character,Line
MAMA_PR,Vela,"Gotta go! Maria wanted to speak with me about uh, hunting parties? See you!"
,,
MAMA_MR,Mama,Hey Vela-
MAMA_MR,Mama,"Goodness, are you alright? Your skin looks horrendous!"
MAMA_MR,Mama,You need to go to the medical tent. Now. 
MAMA_MR,Mama,"Leaving a wound like that to fester is a surefire way to attract vampires, and we wouldn't survive a raid in our current state. "
MAMA_MR,Mama,"For the sake of everyone here, please go take care of that."
MAMA_MR,Narrator,"She shuns you away and continues her work, shaken"
,,
MAMA_NR,Narrator,She takes one look at you and turns around
MAMA_NR,Mama,"Good lord, Vela! What are you doing walking around looking like that? "
MAMA_NR,Mama,"Please, it may be the end of the world but that doesn't mean you should stop caring about basic hygeine!"
MAMA_NR,Mama,"I know you're recovering still, but you need to change those bandages every now and then so your wounds don't get infected!"
MAMA_NR,Mama,"Christ, child. Get out of here and don't come back until you're not a walking safety hazard."
MAMA_NR,Narrator,She shoe-horns you away from the supplies tent and refuses to listen to any of your attempts at pushback. 
,,
MAMA_MNR,Mama,Hi Vela-
MAMA_MNR,Narrator,She drops her clipboard and covers her mouth to muffle an involuntary scream.
MAMA_MNR,Mama,"Christ, what's happening to you?"
MAMA_MNR,Mama,Why- how- are you walking around upright with those kinds of wounds?
MAMA_MNR,Mama,"Get- please- go get help, go to the medical tent, something, I can't look at you any longer or I'm gonna vomit."
,,
MARIA_MPR,Maria,Vela! So good to see you up and moving about today!
MARIA_MPR,Maria,You ready to get back out there and do some scavenging for us?
MARIA_MPR,Maria,"We're happy to let you take as much time as you need to rest and recover, but I'd be lying if I said we weren't suffering from your absence in the gathering department."
MARIA_MPR,Narrator,"You try and compose yourself to match Maria's enthusiasm, doing all you can to not let your face show the immense, splitting pain you're in."
MARIA_MPR,Vela,"I feel myself on the upswing, thankfully, but too much exertion would NOT be a good idea for my long term health right now."
MARIA_MPR,Vela,"I think I better get back to my tent soon, actually. I'm glad I came out to get some sun and talk, but I might collapse at any moment."
MARIA_MPR,Maria,"Goodness! In that case, get out of my sight! I'll arrange for someone to bring your meal to your tent tonight. "
MARIA_MPR,Maria,"Rest up, bud!"
,,
MARIA_PR,Narrator ,You struggle to compose yourself as you walk up to check in with Maria.
MARIA_PR,Vela,"Hey there, oh ferocious leader of ours!"
MARIA_PR,Maria,"Vela! Good to see you out and about, from the looks of things though, you probably shouldn't be."
MARIA_PR,Narrator ,Maria shoots you a soul-piercing glare.
MARIA_PR,Maria,I thought our policy on recovery was clear- don't leave your tent until you've recovered!
MARIA_PR,Maria,"You come out too early, and it'll double the time you spend out of commission! We're already stretched thin enough as it is."
MARIA_PR,Maria,Get back inside Vela.
MARIA_PR,Narrator ,"Your muscles, still screaming in pain with every slight adjustment, couldn't agree more."
,,
MARIA_MR,Narrator,"You walk up to Maria to check in. You think you covered up most of the obviously visible wounds, but it's hard to tell with how fast your head has been spinning."
MARIA_MR,Narrator,Your voice cracks.
MARIA_MR,Vela,Hey there Maria...
MARIA_MR,Narrator,Her disappointment to see you walking about cuts through you like a rusty chainsaw.
MARIA_MR,Maria,"You're putting all of us in danger, walking around with wounds like that exposed."
MARIA_MR,Maria,I'll send someone to deliver your food and meds later.
MARIA_MR,Maria,Get back to your tent. Now.
,,
MARIA_NR,Maria,What are you doing out looking like that!?
MARIA_NR,Maria,Get the hell out of my sight!
MARIA_NR,Maria,I don't wanna see you again until you're healed up!
,,
MARIA_MNR,Narrator,"Maria recoils, revolted by the sight of your injuries."
MARIA_MNR,Maria,What the FUCK Vela?!
MARIA_MNR,Maria,Are those new!?!
MARIA_MNR,Maria,Get back in your tent RIGHT NOW.
